datetime,day,hour_frac,T_primario,operativo,T_mandata_rete,P_kW,hour
2024-01-01 00:00:00,2024-01-01,0.0,,False,,0.0,2024-01-01 00:00:00
2024-01-01 00:05:00,2024-01-01,0.08333333333333333,,False,,0.0,2024-01-01 00:00:00
2024-01-01 00:10:00,2024-01-01,0.16666666666666666,,False,,0.0,2024-01-01 00:00:00
2024-01-01 00:15:00,2024-01-01,0.25,,False,,0.0,2024-01-01 00:00:00
2024-01-01 00:20:00,2024-01-01,0.3333333333333333,,False,,0.0,2024-01-01 00:00:00
2024-01-01 00:25:00,2024-01-01,0.4166666666666667,,False,,0.0,2024-01-01 00:00:00
2024-01-01 00:30:00,2024-01-01,0.5,,False,,0.0,2024-01-01 00:00:00
2024-01-01 00:35:00,2024-01-01,0.5833333333333334,,False,,0.0,2024-01-01 00:00:00
2024-01-01 00:40:00,2024-01-01,0.6666666666666666,,False,,0.0,2024-01-01 00:00:00
2024-01-01 00:45:00,2024-01-01,0.75,,False,,0.0,2024-01-01 00:00:00
2024-01-01 00:50:00,2024-01-01,0.8333333333333334,,False,,0.0,2024-01-01 00:00:00
2024-01-01 00:55:00,2024-01-01,0.9166666666666666,,False,,0.0,2024-01-01 00:00:00
2024-01-01 01:00:00,2024-01-01,1.0,,False,,0.0,2024-01-01 01:00:00
2024-01-01 01:05:00,2024-01-01,1.0833333333333333,,False,,0.0,2024-01-01 01:00:00
2024-01-01 01:10:00,2024-01-01,1.1666666666666667,,False,,0.0,2024-01-01 01:00:00
2024-01-01 01:15:00,2024-01-01,1.25,,False,,0.0,2024-01-01 01:00:00
2024-01-01 01:20:00,2024-01-01,1.3333333333333333,,False,,0.0,2024-01-01 01:00:00
2024-01-01 01:25:00,2024-01-01,1.4166666666666667,,False,,0.0,2024-01-01 01:00:00
2024-01-01 01:30:00,2024-01-01,1.5,,False,,0.0,2024-01-01 01:00:00
2024-01-01 01:35:00,2024-01-01,1.5833333333333335,,False,,0.0,2024-01-01 01:00:00
2024-01-01 01:40:00,2024-01-01,1.6666666666666665,,False,,0.0,2024-01-01 01:00:00
2024-01-01 01:45:00,2024-01-01,1.75,,False,,0.0,2024-01-01 01:00:00
2024-01-01 01:50:00,2024-01-01,1.8333333333333335,,False,,0.0,2024-01-01 01:00:00
2024-01-01 01:55:00,2024-01-01,1.9166666666666665,,False,,0.0,2024-01-01 01:00:00
2024-01-01 02:00:00,2024-01-01,2.0,,False,,0.0,2024-01-01 02:00:00
2024-01-01 02:05:00,2024-01-01,2.0833333333333335,,False,,0.0,2024-01-01 02:00:00
2024-01-01 02:10:00,2024-01-01,2.1666666666666665,,False,,0.0,2024-01-01 02:00:00
2024-01-01 02:15:00,2024-01-01,2.25,,False,,0.0,2024-01-01 02:00:00
2024-01-01 02:20:00,2024-01-01,2.3333333333333335,,False,,0.0,2024-01-01 02:00:00
2024-01-01 02:25:00,2024-01-01,2.4166666666666665,,False,,0.0,2024-01-01 02:00:00
2024-01-01 02:30:00,2024-01-01,2.5,,False,,0.0,2024-01-01 02:00:00
2024-01-01 02:35:00,2024-01-01,2.5833333333333335,,False,,0.0,2024-01-01 02:00:00
2024-01-01 02:40:00,2024-01-01,2.6666666666666665,,False,,0.0,2024-01-01 02:00:00
2024-01-01 02:45:00,2024-01-01,2.75,,False,,0.0,2024-01-01 02:00:00
2024-01-01 02:50:00,2024-01-01,2.8333333333333335,,False,,0.0,2024-01-01 02:00:00
2024-01-01 02:55:00,2024-01-01,2.9166666666666665,,False,,0.0,2024-01-01 02:00:00
2024-01-01 03:00:00,2024-01-01,3.0,,False,,0.0,2024-01-01 03:00:00
2024-01-01 03:05:00,2024-01-01,3.0833333333333335,,False,,0.0,2024-01-01 03:00:00
2024-01-01 03:10:00,2024-01-01,3.1666666666666665,,False,,0.0,2024-01-01 03:00:00
2024-01-01 03:15:00,2024-01-01,3.25,,False,,0.0,2024-01-01 03:00:00
2024-01-01 03:20:00,2024-01-01,3.3333333333333335,,False,,0.0,2024-01-01 03:00:00
2024-01-01 03:25:00,2024-01-01,3.4166666666666665,,False,,0.0,2024-01-01 03:00:00
2024-01-01 03:30:00,2024-01-01,3.5,,False,,0.0,2024-01-01 03:00:00
2024-01-01 03:35:00,2024-01-01,3.5833333333333335,,False,,0.0,2024-01-01 03:00:00
2024-01-01 03:40:00,2024-01-01,3.6666666666666665,,False,,0.0,2024-01-01 03:00:00
2024-01-01 03:45:00,2024-01-01,3.75,,False,,0.0,2024-01-01 03:00:00
2024-01-01 03:50:00,2024-01-01,3.8333333333333335,,False,,0.0,2024-01-01 03:00:00
2024-01-01 03:55:00,2024-01-01,3.9166666666666665,,False,,0.0,2024-01-01 03:00:00
2024-01-01 04:00:00,2024-01-01,4.0,,False,,0.0,2024-01-01 04:00:00
2024-01-01 04:05:00,2024-01-01,4.083333333333333,,False,,0.0,2024-01-01 04:00:00
2024-01-01 04:10:00,2024-01-01,4.166666666666667,,False,,0.0,2024-01-01 04:00:00
2024-01-01 04:15:00,2024-01-01,4.25,,False,,0.0,2024-01-01 04:00:00
2024-01-01 04:20:00,2024-01-01,4.333333333333333,,False,,0.0,2024-01-01 04:00:00
2024-01-01 04:25:00,2024-01-01,4.416666666666667,,False,,0.0,2024-01-01 04:00:00
